"STATION","DIVISION","all","LAT","LON","geo_type","State_FIPS","County_FIPS","Tract_FIPS","f_pop","all_pop","p_emp_info","p_f_pop","p_emp_prof","p_75_100k","p_over_100k"
"COURT SQ","IRT",5653887829,40.8043688,-73.9374712,"establishment","36","061","019600","1802","3895",0.0687022900763359,0.462644415917843,0.0740458015267176,0.058,0.072
"COURT SQ-23 ST","IND",221147530,40.7467885,-73.944548,"establishment","36","081","001901",NA,NA,NA,NA,NA,NA,NA
"CRESCENT ST","BMT",299355043,40.6834641,-73.872933,"establishment","36","047","117602","1675","3000",0.0110544217687075,0.558333333333333,0.0578231292517007,0,0.083
"CROWN HTS-UTICA","IRT",10097136197,40.6689469,-73.9318338,"establishment","36","047","035101",NA,NA,NA,NA,NA,NA,NA
"CYPRESS AV","IRT",8203269232,40.8052426,-73.9137116,"establishment","36","005","002702","2414","4702",0,0.513398553806891,0.0410958904109589,0.012,0
"CYPRESS HILLS","BMT",316591889,40.689941,-73.872551,"establishment","36","047","118201","1476","2859",0.0214231063504208,0.516264428121721,0.0657995409334353,0.124,0.031
"DEKALB AV","BMT",271049806296,40.6897553,-73.9811407,"establishment","36","047","003300","1849","3705",0.112495134293499,0.499055330634278,0.239782016348774,0.159,0.489
"DELANCEY/ESSEX","BMT",1599977494,40.7185592,-73.9881894,"establishment","36","061","001800","3257","7490",0.0554592720970537,0.434846461949266,0.178757118098539,0.119,0.22
"DELANCEY/ESSEX","IND",1820282981,40.7185592,-73.9881894,"establishment","36","061","001800","3257","7490",0.0554592720970537,0.434846461949266,0.178757118098539,0.119,0.22
"DITMAS AV","IND",3314485764,40.635536,-73.9781422,"establishment","36","047","047800","2072","4538",0.0180337405468296,0.456588805641252,0.0296684118673647,0.084,0.147
"DYCKMAN ST","IND",1399192839,40.86549,-73.927269,"establishment","36","061","028700","2138","4090",0.0505716798592788,0.522738386308068,0.0690413368513632,0.123,0.079
"DYCKMAN ST","IRT",390368807,40.8609685,-73.9252991,"establishment","36","061","028300","4158","7781",0.0310771661838293,0.534378614573962,0.0676850144851198,0.1,0.058
"E 143/ST MARY'S","IRT",250030744,40.8082006,-73.9078528,"establishment","36","005","003300","2016","3534",0.0349819059107358,0.570458404074703,0.04583835946924,0,0.06
